YEAR	EXTENDED_YEAR	EVENT	COUNTRY	SIGNIFICANCE	CATEGORY	PosInInches	TickPosInInches	Yalign	bugavoidinglastframeonline
1590	15900	Compound microscope invented by Hans and Zacharias Janssen	The Netherlands	First microscope with multiple lenses. Inspires Galileo to experiment further with telescopes and microscopes.	Discovery/Invention	11.8	0	m	hmmm
1607	16070	Settlement at Jamestown	US	Early colonial settlement in US.	World event	12.765625	0.965625	m	hmmm
1609	16090	Galileo creates microscope	Italy	Expands upon Hans and Zacharias Janssen's work. Galileo's creates a focusing device and describes principles of lenses and light rays.	Discovery/Invention	13.73125	1.93125	m	hmmm
1618	16180	London Pharmacopoeia published	England	First pharmacopeia in London, one of the earliest in existence. Officially sanctioned by King James I, apothecaries in London are only allowed to compound drugs that appear in the pharmacopeia.	Legislation	14.696875	2.896875	m	hmmm
1630	16300	Boston is founded and Governor John Winthrop takes an avid interest in preparing medicines	US	By necessity, Winthrop becomes the de facto colonial apothecary. Using his home as a base of operations, he imports herbs and drugs from the Old World, becoming one of the first people in North America to prepare pharmaceuticals.	Health Science History	15.6625	3.8625	m	hmmm
1638	16380	Scottish apothecary John Johnstone founds a settlement in what will later become New Jersey	US	One of the earliest American apothecaries.	Health Science History	16.628125	4.828125	m	hmmm
1644	16440	Jeanne Mance establishes Hotel Dieu of Montreal	Canada	An early Canadian hospital, the first in Montreal. Part of the "Hotel Dieu" family of hopsitals, run by nuns.	Health Science History	17.59375	5.79375	m	hmmm
1646	16460	First mention of a dispensary in British North America, operated by William Davis of Boston	US	One of the earliest American apothecaries.	Health Science History	18.559375	6.759375	m	hmmm
1653	16530	Dutch surgeon Gysbert van Imbroch practices medicine and sells drugs in what will later become New York	US	One of the earliest American apothecaries, possibly the first surgeon in colonial America.	Health Science History	19.525	7.725	m	hmmm
1661	16610	Robert Boyle publishes Certain Physiological Essays	France	Popular work of European scholarship on physiology.	Education	20.490625	8.690625	m	hmmm
1665	16650	Great Plague of London	England	The bubonic plague ravages the city of London, killing over 100,000 people.	Disease/Catastrophe	21.45625	9.65625	m	hmmm
